service_id,date,exception_type
13,20030602,1
13,20030603,1
13,20030604,1
13,20030605,1
13,20030609,1
13,20030610,1
13,20030611,1
13,20030612,1
13,20030616,1
13,20030617,1
13,20030618,1
13,20030619,1
13,20030623,1
13,20030624,1
13,20030625,1
13,20030626,1
13,20030630,1
13,20030701,1
13,20030702,1
13,20030703,1
13,20030707,1
13,20030708,1
13,20030709,1
13,20030710,1
13,20030714,1
13,20030715,1
13,20030716,1
13,20030717,1
13,20030721,1
13,20030722,1
13,20030723,1
13,20030724,1
13,20030728,1
13,20030729,1
13,20030730,1
13,20030731,1
13,20030804,1
13,20030805,1
13,20030806,1
13,20030807,1
13,20030811,1
13,20030812,1
13,20030813,1
13,20030814,1
13,20030818,1
13,20030819,1
13,20030820,1
13,20030821,1
13,20030825,1
13,20030826,1
13,20030827,1
13,20030828,1
13,20030901,1
13,20030902,1
13,20030903,1
13,20030904,1
13,20030908,1
13,20030909,1
13,20030910,1
13,20030911,1
13,20030915,1
13,20030916,1
13,20030917,1
13,20030918,1
13,20030922,1
13,20030923,1
13,20030924,1
13,20030925,1
13,20030929,1
13,20030930,1
13,20031001,1
13,20031002,1
13,20031006,1
13,20031007,1
13,20031008,1
13,20031009,1
13,20031013,1
13,20031014,1
13,20031015,1
13,20031016,1
13,20031020,1
13,20031021,1
13,20031022,1
13,20031023,1
13,20031027,1
13,20031028,1
13,20031029,1
13,20031030,1
13,20031103,1
13,20031104,1
13,20031105,1
13,20031106,1
13,20031110,1
13,20031112,1
13,20031113,1
13,20031117,1
13,20031118,1
13,20031119,1
13,20031120,1
13,20031124,1
13,20031125,1
13,20031126,1
13,20031127,1
13,20031201,1
13,20031202,1
13,20031203,1
13,20031204,1
13,20031208,1
13,20031209,1
13,20031210,1
13,20031211,1
13,20031215,1
13,20031216,1
13,20031217,1
13,20031218,1
13,20031222,1
13,20031223,1
13,20031224,1
13,20031225,1
13,20031229,1
13,20031230,1
13,20031231,1
13,20040105,1
13,20040106,1
13,20040107,1
13,20040108,1
13,20040112,1
13,20040113,1
13,20040114,1
13,20040115,1
13,20040120,1
13,20040121,1
13,20040122,1
13,20040126,1
13,20040127,1
13,20040128,1
13,20040129,1
13,20040202,1
13,20040203,1
13,20040204,1
13,20040205,1
13,20040209,1
13,20040210,1
13,20040211,1
13,20040212,1
13,20040217,1
13,20040218,1
13,20040219,1
13,20040223,1
13,20040224,1
13,20040225,1
13,20040226,1
13,20040301,1
13,20040302,1
13,20040303,1
13,20040304,1
13,20040308,1
13,20040309,1
13,20040310,1
13,20040311,1
13,20040315,1
13,20040316,1
13,20040317,1
13,20040318,1
13,20040322,1
13,20040323,1
13,20040324,1
13,20040325,1
13,20040329,1
13,20040330,1
13,20040331,1
13,20040401,1
13,20040405,1
13,20040406,1
13,20040407,1
13,20040408,1
13,20040412,1
13,20040413,1
13,20040414,1
13,20040415,1
