
03:44:30.603 INFO  thread=GtfsRealtimeModule-1 [o.t.a.PollUrlAvlModule:240] Started module org.transitime.avl.GtfsRealtimeModule for agencyId=02

03:44:30.604 INFO  thread=GtfsRealtimeModule-1 [o.t.a.PollUrlAvlModule:176] Getting data from feed using url=http://realtime.prod.obahart.org:8088/vehicle-positions

03:44:32.771 INFO  thread=GtfsRealtimeModule-1 [o.t.a.AvlExecutor:106] Starting AvlExecutor for directly handling AVL reports via a queue instead of JMS. maxAVLQueueSize=2000 and numberThreads=1

03:44:32.774 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1509, time=06-27-2016 11:44:32.755 BST, location=[28.07784, -82.43459], speed=28.0m/s, heading=345.0 deg, source=GTFS-rt, assignmentId=143705, assignmentType=TRIP_ID]

03:44:32.833 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1310, time=06-27-2016 11:44:32.756 BST, location=[28.02926, -82.45644], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=143706, assignmentType=TRIP_ID]

03:44:32.837 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2327, time=06-27-2016 11:44:32.756 BST, location=[27.95536, -82.45867], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=143707, assignmentType=TRIP_ID]

03:44:32.840 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2401, time=06-27-2016 11:44:32.757 BST, location=[27.98742, -82.45111], speed=30.0m/s, heading=360.0 deg, source=GTFS-rt, assignmentId=144030, assignmentType=TRIP_ID]

03:44:32.843 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1507, time=06-27-2016 11:44:32.757 BST, location=[28.06915, -82.44309], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=144031, assignmentType=TRIP_ID]

03:44:32.847 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2319, time=06-27-2016 11:44:32.757 BST, location=[28.03631, -82.45133], speed=24.0m/s, heading=180.0 deg, source=GTFS-rt, assignmentId=144076, assignmentType=TRIP_ID]

03:44:32.851 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1502, time=06-27-2016 11:44:32.757 BST, location=[27.96167, -82.45128], speed=26.0m/s, heading=180.0 deg, source=GTFS-rt, assignmentId=144077, assignmentType=TRIP_ID]

03:44:32.855 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2220, time=06-27-2016 11:44:32.757 BST, location=[27.86344, -82.49952], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=144210, assignmentType=TRIP_ID]

03:44:32.859 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2219, time=06-27-2016 11:44:32.757 BST, location=[27.93733, -82.47350], speed=23.0m/s, heading=270.0 deg, source=GTFS-rt, assignmentId=144223, assignmentType=TRIP_ID]

03:44:32.863 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=2223, time=06-27-2016 11:44:32.757 BST, location=[27.95456, -82.45843], speed=0.0m/s, heading=NaN, source=GTFS-rt, assignmentId=144239, assignmentType=TRIP_ID]

03:44:32.866 INFO  thread=avlClient-1 [o.t.a.AvlClient:160] Thread=avlClient-1 AvlClient processing AVL data AvlReport [vehicleId=1003, time=06-27-2016 11:44:32.757 BST, location=[27.96231, -82.44080], speed=8.0m/s, heading=90.0 deg, source=GTFS-rt, assignmentId=144491, assignmentType=TRIP_ID]

